x,y,z
-0.0697861,-2.82304,-2.93468
0.359077,26.2505,-1.52463
0.706436,40.2629,-10.5688
0.631699,25.9851,-20.3257
0.091362,16.2756,-7.9173
-12.9231,27.6105,-9.96304
13.1181,29.1115,-8.88863
-10.4739,30.5229,-20.1372
11.5381,33.5667,-19.9207
0.551704,61.878,-6.44321
0.382637,10.2025,-11.0018
-2.03383,10.2523,-9.08372
3.20906,9.96009,-9.74944
0.00182343,31.6624,1.0564
-19.4138,-2.76979,30.6955
17.6514,-0.797806,29.7326
-21.3428,26.183,32.2079
19.9301,28.2683,29.8194
-0.404869,-35.6391,3.19199
0.818764,39.5633,0.828926
-37.4515,5.56354,-23.366
38.6895,5.95329,-25.119
-21.9913,11.1805,-18.7602
20.4576,11.7195,-16.5291
-20.2235,4.55606,-27.2277
26.3043,4.19232,-28.4847
-17.5177,44.5774,-0.927208
19.8163,43.1412,1.55006
-19.4952,83.2577,-5.15438
20.7867,79.7361,-1.95741
-15.064,-16.1123,-14.0127
13.0417,-17.5867,-11.1289
