x,y,z
0.316403,-2.555,-5.03435
0.131393,25.3,-2.23693
0.272777,37.2231,-9.72389
0.127976,23.771,-22.0889
0.00393462,14.3077,-10.3879
-12.6225,26.2076,-9.69014
11.8036,27.3913,-10.217
-11.3612,28.6866,-19.857
10.809,29.9022,-19.9984
0.717509,61.7137,-0.426415
0.141106,8.60225,-17.1691
-1.62326,8.6712,-13.7701
2.26715,8.33648,-14.882
-0.523515,30.8605,2.39095
-15.6769,-1.85567,26.9159
16.1305,-0.14525,27.0304
-19.2781,22.6969,28.5627
20.1204,27.4281,26.8438
-1.5102,-32.6271,3.87983
0.36842,38.2865,6.44408
-35.7537,6.00223,-25.4279
35.4059,7.19876,-27.1234
-19.498,10.3574,-18.0735
17.8165,10.4235,-17.9674
-18.7214,3.9211,-27.5156
23.8814,4.20507,-30.5351
-19.1149,41.4112,3.67458
17.5056,43.5402,3.93582
-21.1837,82.8993,1.33001
18.6658,83.6154,0.451868
-12.4516,-15.8584,-13.1289
12.8504,-16.6638,-13.2922
