subject,roi,side,intersection,union,id_vol,truth_vol
sub-0010,thalamus,left,6763,12003,8836,9930
sub-0010,thalamus,right,6911,11395,8650,9656
sub-0010,striatum,left,5877,18591,11890,12578
sub-0010,striatum,right,6406,17702,11628,12480
sub-0010,pallidum,left,1369,3264,2086,2547
sub-0010,pallidum,right,1492,3171,2142,2521
sub-0086,thalamus,left,8816,11336,10222,9930
sub-0086,thalamus,right,8057,11525,9926,9656
sub-0086,striatum,left,10483,14658,12563,12578
sub-0086,striatum,right,8711,16092,12323,12480
sub-0086,pallidum,left,2076,3121,2650,2547
sub-0086,pallidum,right,1664,3381,2524,2521
sub-0101,thalamus,left,9286,11977,11333,9930
sub-0101,thalamus,right,8417,12067,10828,9656
sub-0101,striatum,left,10504,15792,13718,12578
sub-0101,striatum,right,9095,17227,13842,12480
sub-0101,pallidum,left,2114,3013,2580,2547
sub-0101,pallidum,right,1796,3450,2725,2521
sub-0109,thalamus,left,8976,10848,9894,9930
sub-0109,thalamus,right,8737,10666,9747,9656
sub-0109,striatum,left,10777,14268,12467,12578
sub-0109,striatum,right,10275,14707,12502,12480
sub-0109,pallidum,left,2147,2877,2477,2547
sub-0109,pallidum,right,2093,2835,2407,2521
sub-0114,thalamus,left,8869,10925,9864,9930
sub-0114,thalamus,right,8425,10686,9455,9656
sub-0114,striatum,left,9786,16225,13433,12578
sub-0114,striatum,right,10787,14867,13174,12480
sub-0114,pallidum,left,2061,3185,2699,2547
sub-0114,pallidum,right,2056,3389,2924,2521
sub-0117,thalamus,left,6955,12959,9984,9930
sub-0117,thalamus,right,7789,11494,9627,9656
sub-0117,striatum,left,7228,17124,11774,12578
sub-0117,striatum,right,9281,15105,11906,12480
sub-0117,pallidum,left,1448,3370,2271,2547
sub-0117,pallidum,right,1918,3099,2496,2521
sub-0145,thalamus,left,8718,12035,10823,9930
sub-0145,thalamus,right,8966,11561,10871,9656
sub-0145,striatum,left,10765,16585,14772,12578
sub-0145,striatum,right,10662,16066,14248,12480
sub-0145,pallidum,left,1928,3357,2738,2547
sub-0145,pallidum,right,1995,3447,2921,2521
sub-0177,thalamus,left,9194,11705,10969,9930
sub-0177,thalamus,right,9086,11285,10715,9656
sub-0177,striatum,left,9875,15332,12629,12578
sub-0177,striatum,right,9955,15570,13045,12480
sub-0177,pallidum,left,1887,3221,2561,2547
sub-0177,pallidum,right,1977,3232,2688,2521
sub-0180,thalamus,left,7823,11034,8927,9930
sub-0180,thalamus,right,6988,10813,8145,9656
sub-0180,striatum,left,6753,16590,10765,12578
sub-0180,striatum,right,5144,16472,9136,12480
sub-0180,pallidum,left,1754,2904,2111,2547
sub-0180,pallidum,right,1474,2815,1768,2521
sub-0188,thalamus,left,8330,11765,10165,9930
sub-0188,thalamus,right,7931,11463,9738,9656
sub-0188,striatum,left,8720,16034,12176,12578
sub-0188,striatum,right,9311,15596,12427,12480
sub-0188,pallidum,left,1679,3588,2720,2547
sub-0188,pallidum,right,1718,3362,2559,2521
sub-0200,thalamus,left,9048,11358,10476,9930
sub-0200,thalamus,right,8803,10981,10128,9656
sub-0200,striatum,left,9174,15758,12354,12578
sub-0200,striatum,right,10489,14593,12602,12480
sub-0200,pallidum,left,1625,3530,2608,2547
sub-0200,pallidum,right,2077,2932,2488,2521
sub-0203,thalamus,left,8069,10902,9041,9930
sub-0203,thalamus,right,7809,10672,8825,9656
sub-0203,striatum,left,7466,17042,11930,12578
sub-0203,striatum,right,8187,15989,11696,12480
sub-0203,pallidum,left,1596,3210,2259,2547
sub-0203,pallidum,right,1724,3269,2472,2521
sub-0216,thalamus,left,8791,10698,9559,9930
sub-0216,thalamus,right,8591,10564,9499,9656
sub-0216,striatum,left,10044,14437,11903,12578
sub-0216,striatum,right,10198,13983,11701,12480
sub-0216,pallidum,left,2025,3088,2566,2547
sub-0216,pallidum,right,2017,3194,2690,2521
sub-0239,thalamus,left,9052,12363,11485,9930
sub-0239,thalamus,right,9102,11627,11073,9656
sub-0239,striatum,left,10323,15205,12950,12578
sub-0239,striatum,right,10211,14956,12687,12480
sub-0239,pallidum,left,1851,3335,2639,2547
sub-0239,pallidum,right,2075,3342,2896,2521
sub-0249,thalamus,left,8948,11607,10625,9930
sub-0249,thalamus,right,8003,12183,10530,9656
sub-0249,striatum,left,8899,18111,14432,12578
sub-0249,striatum,right,9890,16627,14037,12480
sub-0249,pallidum,left,1821,3287,2561,2547
sub-0249,pallidum,right,1702,3553,2734,2521
sub-0255,thalamus,left,6823,11337,8230,9930
sub-0255,thalamus,right,5872,11215,7431,9656
sub-0255,striatum,left,5206,19261,11889,12578
sub-0255,striatum,right,4976,19036,11532,12480
sub-0255,pallidum,left,1289,3587,2329,2547
sub-0255,pallidum,right,1128,3765,2372,2521
sub-0256,thalamus,left,7050,12304,9424,9930
sub-0256,thalamus,right,6151,12703,9198,9656
sub-0256,striatum,left,7747,17348,12517,12578
sub-0256,striatum,right,7533,17891,12944,12480
sub-0256,pallidum,left,1161,3912,2526,2547
sub-0256,pallidum,right,1069,3741,2289,2521
sub-0263,thalamus,left,6640,11856,8566,9930
sub-0263,thalamus,right,7539,10836,8719,9656
sub-0263,striatum,left,6449,17133,11004,12578
sub-0263,striatum,right,8030,15144,10694,12480
sub-0263,pallidum,left,1470,3367,2290,2547
sub-0263,pallidum,right,1844,2900,2223,2521
sub-0266,thalamus,left,7193,12255,9518,9930
sub-0266,thalamus,right,6636,12379,9359,9656
sub-0266,striatum,left,8241,15608,11271,12578
sub-0266,striatum,right,7539,16890,11949,12480
sub-0266,pallidum,left,1597,3179,2229,2547
sub-0266,pallidum,right,1524,3178,2181,2521
sub-0274,thalamus,left,8189,11372,9631,9930
sub-0274,thalamus,right,8055,11243,9642,9656
sub-0274,striatum,left,10086,15059,12567,12578
sub-0274,striatum,right,10224,14982,12726,12480
sub-0274,pallidum,left,2005,3059,2517,2547
sub-0274,pallidum,right,1877,3163,2519,2521
sub-0284,thalamus,left,6965,12022,9057,9930
sub-0284,thalamus,right,6362,12204,8910,9656
sub-0284,striatum,left,6328,18481,12231,12578
sub-0284,striatum,right,6709,18839,13068,12480
sub-0284,pallidum,left,1384,3552,2389,2547
sub-0284,pallidum,right,1447,3454,2380,2521
sub-0303,thalamus,left,8419,11052,9541,9930
sub-0303,thalamus,right,8468,10522,9334,9656
sub-0303,striatum,left,10284,14306,12012,12578
sub-0303,striatum,right,10340,15113,12973,12480
sub-0303,pallidum,left,2050,2904,2407,2547
sub-0303,pallidum,right,2032,2984,2495,2521
sub-0343,thalamus,left,8562,11098,9730,9930
sub-0343,thalamus,right,8364,10693,9401,9656
sub-0343,striatum,left,9896,16763,14081,12578
sub-0343,striatum,right,10544,15579,13643,12480
sub-0343,pallidum,left,1867,3077,2397,2547
sub-0343,pallidum,right,2079,3014,2572,2521
sub-0345,thalamus,left,9262,11242,10574,9930
sub-0345,thalamus,right,9021,11238,10603,9656
sub-0345,striatum,left,9511,16286,13219,12578
sub-0345,striatum,right,9053,16818,13391,12480
sub-0345,pallidum,left,2061,3133,2647,2547
sub-0345,pallidum,right,2027,3360,2866,2521
sub-0357,thalamus,left,9293,11530,10893,9930
sub-0357,thalamus,right,8721,11369,10434,9656
sub-0357,striatum,left,10606,15953,13981,12578
sub-0357,striatum,right,10215,16064,13799,12480
sub-0357,pallidum,left,2080,3127,2660,2547
sub-0357,pallidum,right,2002,3384,2865,2521
sub-0365,thalamus,left,5506,13746,9322,9930
sub-0365,thalamus,right,5944,12571,8859,9656
sub-0365,striatum,left,7165,22495,17082,12578
sub-0365,striatum,right,9222,19047,15789,12480
sub-0365,pallidum,left,1511,4320,3284,2547
sub-0365,pallidum,right,1780,3859,3118,2521
sub-0371,thalamus,left,8292,11880,10242,9930
sub-0371,thalamus,right,8619,10671,9634,9656
sub-0371,striatum,left,9893,18841,16156,12578
sub-0371,striatum,right,11032,16289,14841,12480
sub-0371,pallidum,left,1742,3257,2452,2547
sub-0371,pallidum,right,1889,2948,2316,2521
sub-0395,thalamus,left,8527,12552,11149,9930
sub-0395,thalamus,right,8435,11841,10620,9656
sub-0395,striatum,left,9892,16570,13884,12578
sub-0395,striatum,right,10235,15574,13329,12480
sub-0395,pallidum,left,1947,2958,2358,2547
sub-0395,pallidum,right,1940,3014,2433,2521
sub-0398,thalamus,left,6396,11741,8207,9930
sub-0398,thalamus,right,6492,11498,8334,9656
sub-0398,striatum,left,5535,19376,12333,12578
sub-0398,striatum,right,5622,18430,11572,12480
sub-0398,pallidum,left,1299,3744,2496,2547
sub-0398,pallidum,right,1416,3674,2569,2521
sub-0456,thalamus,left,7864,11743,9677,9930
sub-0456,thalamus,right,7491,11802,9637,9656
sub-0456,striatum,left,7634,16448,11504,12578
sub-0456,striatum,right,5208,18674,11402,12480
sub-0456,pallidum,left,1267,3699,2419,2547
sub-0456,pallidum,right,1199,3673,2351,2521
