subject,roi,side,intersection,union,id_vol,truth_vol
sub-0010,thalamus,left,8244,10509,8823,9930
sub-0010,thalamus,right,8142,10148,8634,9656
sub-0010,striatum,left,10946,13578,11946,12578
sub-0010,striatum,right,10726,13613,11859,12480
sub-0010,pallidum,left,2265,3016,2734,2547
sub-0010,pallidum,right,2295,2865,2639,2521
sub-0086,thalamus,left,9105,10820,9995,9930
sub-0086,thalamus,right,9070,10536,9950,9656
sub-0086,striatum,left,11491,13642,12555,12578
sub-0086,striatum,right,11454,13573,12547,12480
sub-0086,pallidum,left,2364,2799,2616,2547
sub-0086,pallidum,right,2260,2765,2504,2521
sub-0101,thalamus,left,9485,11306,10861,9930
sub-0101,thalamus,right,8940,10985,10269,9656
sub-0101,striatum,left,11735,14624,13781,12578
sub-0101,striatum,right,11584,14832,13936,12480
sub-0101,pallidum,left,2184,2823,2460,2547
sub-0101,pallidum,right,2340,2787,2606,2521
sub-0109,thalamus,left,9400,10583,10053,9930
sub-0109,thalamus,right,9205,10355,9904,9656
sub-0109,striatum,left,11439,13499,12360,12578
sub-0109,striatum,right,11738,13773,13031,12480
sub-0109,pallidum,left,2283,2798,2534,2547
sub-0109,pallidum,right,2245,2688,2412,2521
sub-0114,thalamus,left,9196,10595,9861,9930
sub-0114,thalamus,right,8979,10183,9506,9656
sub-0114,striatum,left,11780,13728,12930,12578
sub-0114,striatum,right,11746,13749,13015,12480
sub-0114,pallidum,left,2246,2765,2464,2547
sub-0114,pallidum,right,2294,2747,2520,2521
sub-0117,thalamus,left,8971,10801,9842,9930
sub-0117,thalamus,right,8806,10292,9442,9656
sub-0117,striatum,left,11617,13708,12747,12578
sub-0117,striatum,right,11389,13498,12407,12480
sub-0117,pallidum,left,2109,2729,2291,2547
sub-0117,pallidum,right,2267,2770,2516,2521
sub-0145,thalamus,left,9507,10915,10492,9930
sub-0145,thalamus,right,9374,10618,10336,9656
sub-0145,striatum,left,11833,13679,12934,12578
sub-0145,striatum,right,11702,13673,12895,12480
sub-0145,pallidum,left,2269,2725,2447,2547
sub-0145,pallidum,right,2353,2819,2651,2521
sub-0177,thalamus,left,9058,10771,9899,9930
sub-0177,thalamus,right,9078,10424,9846,9656
sub-0177,striatum,left,11545,13581,12548,12578
sub-0177,striatum,right,11692,13839,13051,12480
sub-0177,pallidum,left,2329,2800,2582,2547
sub-0177,pallidum,right,2328,2858,2665,2521
sub-0180,thalamus,left,9088,10335,9493,9930
sub-0180,thalamus,right,8670,10017,9031,9656
sub-0180,striatum,left,10859,13328,11609,12578
sub-0180,striatum,right,8602,13308,9430,12480
sub-0180,pallidum,left,2297,2831,2581,2547
sub-0180,pallidum,right,1952,2883,2314,2521
sub-0188,thalamus,left,9471,10645,10186,9930
sub-0188,thalamus,right,9208,10199,9751,9656
sub-0188,striatum,left,11323,13455,12200,12578
sub-0188,striatum,right,11591,13434,12545,12480
sub-0188,pallidum,left,2314,2827,2594,2547
sub-0188,pallidum,right,2304,2748,2531,2521
sub-0200,thalamus,left,9515,10766,10351,9930
sub-0200,thalamus,right,9255,10380,9979,9656
sub-0200,striatum,left,11478,13573,12473,12578
sub-0200,striatum,right,11471,13890,12881,12480
sub-0200,pallidum,left,2272,2816,2541,2547
sub-0200,pallidum,right,2249,2776,2504,2521
sub-0203,thalamus,left,9114,10373,9557,9930
sub-0203,thalamus,right,8868,10037,9249,9656
sub-0203,striatum,left,11321,13413,12156,12578
sub-0203,striatum,right,11239,13302,12061,12480
sub-0203,pallidum,left,2198,2760,2411,2547
